Name,New File name,Vyond file name,Date Added,Video ID,Status,desktop_mp4 URL,desktop_webm URL,mobile_low URL,youtube URL
AZ900T01-M1L1-CloudServices-1080p.mp4,AZ900T01-M1L1-CloudServices-Jan19.mp4,Mod 1 Les 1 Cloud Services-1080p-08833ba6-ea5c-455e-88e3-c9496241d9b5,,,,,,,r730RlLydtg
AZ900T01-M1L2-CloudModelComparison-1080p.mp4,AZ900T01-M1L2-CloudModelComparison-Jan19.mp4,M1L2 Cloud Model Comparison V3-1080p-98982aee-c1ff-4bf2-bb48-3b1384d6be34,,,,,,,7QMoW0diow4
AZ900T01-M1L2-CloudModels-1080p.mp4,AZ900T01-M1L2-CloudModels-Jan19.mp4,M1L2 Cloud Models-1080p-980d7c8e-116e-43a4-ad0e-a8e00cde0841,,,,,,,_zj93XA8wgY
AZ900T01-M1L3-TypesofCloudServices-1080p.mp4,AZ900T01-M1L3-TypesofCloudServices-Jan19.mp4,M1L3 Types of Cloud Services-1080p-5a39018f-beb5-438e-9f31-c272934e8275,,,,,,,AC6iUMzqQAk
AZ900T01-M1L6-Module1Summary-1080p.mp4,AZ900T01-M1L6-Module1Summary-Jan19.mp4,M1L6Mod1Summary-1080p-3e567387-5966-471e-8403-c52a1395cb9c,,,,,,,jBuyWNFTGN0
AZ900T01-M2L2-AvailabilitySets-1080p-Dec18.mp4,AZ900T01-M2L2-AvailabilitySets-Jan19.mp4,M2L2-Availabilitysets-1080p-85983a11-1273-4264-afd9-fec8db88a2d2,,,,,,,fYamD1-1UoQ
AZ900T01-M2L2-AvailabilityZones-1080p-Dec18.mp4,AZ900T01-M2L2-AvailabilityZones-Jan19.mp4,M2L2-AvailabilityZones-1080p-b355ef34-3eb9-4893-a44a-d8ac11c3aabd,,,,,,,1Lk9DMBGDmo
AZ900T01-M2L2-AzureResourceManager-1080p-Dec18.mp4,AZ900T01-M2L2-AzureResourceManager-Jan19.mp4,M2L2-AzureResourceManager-1080p-ced6c44d-ef7c-42bb-8f21-0ac7e665eaeb,,,,,,,cQHHvl4EaDg
AZ900T01-M2L2-Geographies-1080p-Dec18.mp4,AZ900T01-M2L2-Geographies-Jan19.mp4,M2L2 Geography-1080p-63b2f356-e326-48b1-9d31-ec8295d2b4b5,,,,,,,1b7EsO7QS_M
AZ900T01-M2L2-Regions-1080p-Dec18.mp4,AZ900T01-M2L2-Regions-Jan19.mp4,M2L2T01-Regions-1080p-f76f984e-a296-4250-8214-d8dff061fd65,,,,,,,8gpQTZL0ph0
AZ900T01-M2L2-ResourceGroups-1080p-Dec18.mp4,AZ900T01-M2L2-ResourceGroups-Jan19.mp4,M2L2-resourcegroups-1080p-a8bd5381-3314-4e0a-a692-87d5bb5e40ef,,,,,,,R5By4lWQwNA
AZ900T01-M2L3-Compute-1080p-Dec18.mp4,AZ900T01-M2L3-Compute-Jan19.mp4,M2L3-Compute-1080p-41039d0a-4de1-46b2-b78a-28f6aeba033b,,,,,,,mz8xSJd9oLo
AZ900T01-M2L3-Databases-1080p-Dec18.mp4,AZ900T01-M2L3-Databases-Jan19.mp4,M2L3-Databases-1080p-b26099b8-987f-4b20-acb5-d5f856c804d8,,,,,,,0Yk2pcieP9E
AZ900T01-M2L3-Networking-1080p-Dec18.mp4,AZ900T01-M2L3-Networking-Jan19.mp4,M2L3-Network-1080p-b4191b5f-751b-4dfd-a0ba-db09c048cd19,,,,,,,EOiMaP7xE4M
AZ900T01-M2L3-Networks-1080p-Dec18.mp4,,????,,,,,,,84WgnD4uLXc
AZ900T01-M2L3-Storage-1080p-Dec18.mp4,AZ900T01-M2L3-Storage-Jan19.mp4,M2L3-storage-1080p-5bdcbfc3-0945-432b-967b-510669183cd6,,,,,,,hJa-a8IWTa4
AZ900T01-M2L3-Marketplace-1080p-Dec18.mp4,AZ900T01-M2L3-Marketplace-Jan19.mp4,M2L3-maketplace-1080p-369f5f11-3571-4fbc-89fd-d1fff9d587b1,,,,,,,lKTJt844rlY
AZ900T01-M2L4-AI-1080p-Dec18.mp4,AZ900T01-M2L4-AI-Jan19.mp4,M24-AI-1080p-d79d4638-8a0d-4b98-a35f-25898feb33cb,,,,,,,HQx2H-fhntQ
AZ900T01-M2L4-DataandAnalytics-1080p-Dec18.mp4,AZ900T01-M2L4-DataandAnalytics-Jan19.mp4,M2L4-BIgDataandAnalytics-1080p-64aa7d10-3333-4ce8-aed5-884d0156ba0f,,,,,,,eee7GJhIOmk
AZ900T01-M2L4-Devops-1080p-Dec18.mp4,AZ900T01-M2L4-Devops-Jan19.mp4,M2L4-DevOps-1080p-988897e3-83ed-4b7e-aa9e-a8dcd8a2b464,,,,,,,-1ljSoxvjtc
AZ900T01-M2L4-IoT-1080p-Dec18.mp4,AZ900T01-M2L4-IoT-Jan19.mp4,M2L4-iot-1080p-43005d68-16d7-4bab-9818-adc48ed0eed7,,,,,,,KN6Y8jl82YI
AZ900T01-M2L4-Serverless-1080p-Dec18.mp4,AZ900T01-M2L4-Serverless-Jan19.mp4,M2L4-Serverless-1080p-6a67580f-df15-47a9-a77a-a8f169770830,,,,,,,wLU4NCdk-Zk
AZ900T01-M2L5-Advisor-1080p-Dec18.mp4,AZ900T01-M2L5-Advisor-Jan19.mp4,M2L5-AzureAdvisor-1080p-e6af18d3-ebea-4448-bfb0-22f4dfdfdf2c,,,,,,,jEybpsih1fU
AZ900T01-M2L5-MgmtTools-1080p-Dec18.mp4,AZ900T01-M2L5-MgmtTools-Jan19.mp4,M2L5-MgmtTools-1080p-b4256c21-e98f-474b-99d3-e1a2c6094da3,,,,,,,MGKT7VBlEwA
AZ900T01-M3L2-SecuringNetworkConnectivity-1080p-Dec18.mp4,AZ900T01-M3L2-SecuringNetworkConnectivity-Jan19.mp4,M3L2-SecuringNetworkConnectivity-1080p-95369d8d-a3cd-4680-ae4d-9e660f59b1f0,,,,,,,z9eOKv5mUe4
AZ900T01-M3L4-CoreIdentityServices-1080p-Dec18.mp4,AZ900T01-M3L4-CoreIdentityServices-Jan19.mp4,M2L3-CoreIdentityServices-1080p-61a9d352-c1fe-4521-8248-e04a35234c54,,,,,,,dxNI51dwAiU
AZ900T01-M3L4-SecurityCenter-1080p-Dec18.mp4,AZ900T01-M3L4-SecurityCenter-Jan19.mp4,M3L4-SecurityCenter-1080p-e0c4c111-f518-4b26-a67b-77f4708d0dc5,,,,,,,kXH8hvGztgo
AZ900T01-M3L4-SecurityToolsandServices-1080p-Dec18.mp4,AZ900T01-M3L4-SecurityToolsandServices-Jan19.mp4,M3L4-SecurityToolsandServices-1080p-9f38da32-fca9-488e-a9c2-71f0d02b2ebc,,,,,,,c_9heWmwPdg
AZ900T01-M3L5-GovernanceMethodologies-1080p-Dec18.mp4,AZ900T01-M3L5-GovernanceMethodologies-Jan19.mp4,M3L5-governancemethodologies-1080p-cfaa58e1-5a9b-4907-b686-063afc01648a,,,,,,,9TjTPioD_Nc
AZ900T01-M3L6-AzureMonitor-1080p-Dec18.mp4,AZ900T01-M3L6-AzureMonitor-Jan19.mp4,M3L6-AzureMonitor-1080p-fd4f684c-5534-4d50-b1c9-c09bcf3a4d96,,,,,,,dkYHBwz0Y9M
AZ900T01-M3L6-AzureServiceHealth-1080p-Dec18.mp4,AZ900T01-M3L6-AzureServiceHealth-Jan19.mp4,M3L6-AzureServiceHealth-1080p-f76f6616-4428-4efc-82d7-a1ae16cf1cda,,,,,,,hHa49Jy6yfU
AZ900T01-M3L7-ComplianceManager-1080p-Dec18.mp4,AZ900T01-M3L7-ComplianceManager-Jan19.mp4,M3L7-ComplianceManager-1080p-c750d799-dc98-4203-9594-d89833825e8e,,,,,,,BIofpxc6M98
AZ900T01-M3L7-ComplianceTermsandRequirements-1080p-Dec18.mp4,AZ900T01-M3L7-ComplianceTermsandRequirements-Jan19.mp4,M3L7-ComplianceTermsandRequirements-1080p-3e1fcaba-7ed1-43c9-81fb-4774b0193bf3,,,,,,,sQ2-Sw1qhJ4
AZ900T01-M3L7-PrivacyStatement-1080p-Dec18.mp4,AZ900T01-M3L7-PrivacyStatement-Jan19.mp4,M3L7-PrivacyStatement-1080p-23d3a7e9-5e6a-429b-abe4-d6394787b44d,,,,,,,Iem2eHK2D6U
AZ900T01-M3L7-TrustCenterandSTP-1080p-Dec18.mp4,AZ900T01-M3L7-TrustCenterandSTP-Jan19.mp4,M3L7-TrustCenterandSTP-1080p-83cc2bdb-aca3-4ad3-a871-474ae9ed0d7f,,,,,,,x-Rbx7M71KU
AZ900T01-M4L2-AzureSubscriptions-1080p-Dec18.mp4,AZ900T01-M4L2-AzureSubscriptions-Jan19.mp4,M4L2-AzureSubscriptions-1080p-3c1bfeb3-d207-4369-b88a-8b8af19f1764,,,,,,,mNDXqG1z8x4
AZ900T01-M4L3-FactorsAffectingCost-1080p-Dec18.mp4,AZ900T01-M4L3-FactorsAffectingCost-Jan19.mp4,M4L3-FactorsAffectingCosts-1080p-5d2b3931-7e5f-43fa-aa1c-e72aa543d76e,,,,,,,2FTA2O5PSrM
AZ900T01-M4L3-MinimizingCosts-1080p-Dec18.mp4,AZ900T01-M4L3-MinimizingCosts-Jan19.mp4,M4L3-minimizingcosts-1080p-1954906f-cecd-47f2-8d19-5780845e2d4e,,,,,,,aOr2EZ_x_v4
AZ900T01-M4L3-PlanningCosts-1080p-Dec18.mp4,AZ900T01-M4L3-PlanningCosts-Jan19.mp4,M4L3-PlanningCosts-1080p-c33e9bc8-b914-4502-8918-3ddbffc1f519,,,,,,,XJxQCPAIKf0
AZ900T01-M4L3-PurchasingOptions-1080p-Dec18.mp4,AZ900T01-M4L3-PurchasingOptions-Jan19.mp4,M4L2-PurchasingOptions-1080p-046b4f66-fd1c-4fca-9400-e840dd72e059,,,,,,,UUkVncMxN-c
AZ900T01-M4L4-AccesingSupport-1080p-Dec18.mp4,AZ900T01-M4L4-AccessingSupport-Jan19.mp4,M4L4-AccessingSupport-1080p-f1ed46f5-b400-4518-8c32-473ff08f1ace,,,,,,,2ASAwpvPauo
AZ900T01-M4L4-SupportPlanOptions-1080p-Dec18.mp4,AZ900T01-M4L4-SupportPlanOptions-Jan19.mp4,M4L4-SupportplanOptions-1080p-7bc4999c-7e83-4708-b09b-0d702604313e,,,,,,,gaaGZjGzKRE
AZ900T01-M4L6-FeatureReleaseandAccess-1080p-Dec18.mp4,AZ900T01-M4L6-FeatureReleaseandAccess-Jan19.mp4,M4L6-FeatureReleaseandAccess-1080p-0582e909-3a28-4cf6-9a32-dbb50d2421fc,,,,,,,yDuKd2JqseU
AZ900T01-Intro.mp4,AZ900T01-Intro-Jan19.mp4,M0-AZ900T01-Intro-1080p-b52709e7-33a5-4edd-8603-37a51d0abff2,,,,,,,aOS8aS5_rg4
AZ900T01-Outro.mp4,AZ900T01-Outro-Jan19.mp4,AZ900T01-Outro-1080p-f1536b8d-2749-4375-9a75-e9891ffa9274,,,,,,,rENBPbboie0
AZ900T01-M0L1-CreateFreeAzureAccount-Dec18.mp4,no new file,,,,,,,,H53yVpKB3_c
AZ900T01-M2L3-Demo-CreateaVirtualmachineDec18.mp4,no new file,,,,,,,,rGGfRogOCJQ
AZ900T01-M2L3-Demo-CreateBlobStorage-Dec18.mp4,no new file,,,,,,,,Y8hz0oIuWDs
#NAME?,,,,,,,,,9XgJG_vUaXk
